               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12515,            0.026454,            0.037419,                   0,                   0,                   0,                   0,             0.12525,            0.025384,            0.047968,              0.0982,              0.0002,              0.0002
                   1,             0.12471,            0.027026,            0.033561,                   0,                   0,                   0,                   0,             0.11841,            0.024892,            0.041883,             0.09549,           0.0004901,           0.0004901
                   2,             0.10868,            0.026704,             0.03023,                   0,                   0,                   0,                   0,              0.1057,            0.023946,            0.028176,            0.092768,          0.00076832,          0.00076832
                   3,            0.090838,            0.025665,            0.022547,                   0,                   0,                   0,                   0,            0.086911,            0.022987,            0.021436,            0.090035,           0.0010347,           0.0010347
                   4,            0.097774,            0.025797,             0.02244,           0.0027174,            0.085714,           0.0018032,          0.00085988,            0.080127,            0.021713,            0.018485,            0.087289,           0.0012891,           0.0012891
                   5,            0.082295,            0.024859,            0.019011,           0.0023166,            0.085714,           0.0019791,           0.0010171,            0.075554,            0.020869,            0.016258,            0.084532,           0.0015317,           0.0015317
                   6,             0.08723,            0.025402,            0.018252,           0.0030257,             0.11429,           0.0037635,           0.0009962,            0.071084,            0.019916,            0.013659,            0.081762,           0.0017624,           0.0017624
                   7,            0.085958,             0.02521,            0.017809,           0.0038144,             0.17143,           0.0058793,           0.0016284,            0.069201,             0.01952,            0.011921,            0.078981,           0.0019812,           0.0019812
                   8,            0.080009,            0.023609,            0.014757,           0.0035736,             0.17143,           0.0075696,           0.0024479,            0.065953,            0.018674,           0.0088748,            0.076188,           0.0021882,           0.0021882
                   9,            0.074458,            0.025714,            0.012712,           0.0036326,                 0.2,            0.012314,           0.0041572,            0.060249,            0.018325,           0.0075557,            0.073383,           0.0023832,           0.0023832
                  10,            0.073291,            0.024152,            0.010401,           0.0096186,                 0.2,            0.017583,           0.0069964,            0.056789,             0.01724,           0.0058565,            0.070566,           0.0025664,           0.0025664
                  11,            0.067892,            0.022127,           0.0089962,            0.055591,             0.17143,            0.041542,            0.011299,            0.058621,            0.016584,           0.0052319,            0.067738,           0.0027377,           0.0027377
                  12,            0.070519,            0.022108,           0.0076479,             0.32404,             0.17143,             0.12064,            0.047494,            0.055733,            0.015474,           0.0040187,            0.064897,           0.0028971,           0.0028971
                  13,            0.073432,            0.022717,           0.0078663,             0.13916,                 0.2,            0.050349,            0.018282,            0.056916,            0.014586,           0.0034845,            0.062045,           0.0030447,           0.0030447
                  14,            0.067746,             0.02003,            0.007294,             0.51302,             0.22857,             0.17792,            0.061667,            0.057323,            0.013211,           0.0028857,             0.05918,           0.0031803,           0.0031803
                  15,            0.063812,            0.018055,           0.0056398,             0.49793,             0.28571,             0.17119,            0.071476,            0.052989,            0.013275,           0.0026488,            0.056304,           0.0033041,           0.0033041
